intertidal_km2,permanent_km2,valid_km2,year
5.433863702721924,537.8407613098257,558.7965814603486,1984
4.34238775884195,526.8276617763505,555.1508122529974,1985
12.738155251733534,541.4555499654973,571.9680056284918,1986
12.998996754337702,551.6950374184999,576.3354370672097,1987
10.573876513459053,551.1616468087586,573.0819098829131,1988
8.784369039477497,550.9586166034388,571.7017353907843,1989
8.768653823439346,549.0408337033263,570.887850122361,1990
0.0,0.0,0.0,1991
0.0,0.0,0.0,1992
0.0,0.0,0.0,1993
0.0,0.0,0.0,1994
0.0,0.0,0.0,1995
0.0,0.0,0.0,1996
3.9082189364492264,519.3451632497947,552.0476779465856,1997
7.416477348695278,540.1771133446944,562.8222231918326,1998
4.043428275013884,528.3191794261414,546.5759116520692,1999
9.64814064547182,551.8410510768354,574.5402781284106,2000
11.535191430989256,535.0124881661538,571.5996219754699,2001
19.116714915544282,542.752831306787,577.5297185849124,2002
12.4336216129862,550.2188603529754,576.3517660092798,2003
16.487710242801494,551.2505570669937,577.7809698779063,2004
17.065533183613915,540.6932406417196,576.2389479493659,2005
23.63484669071846,538.0363252963539,577.8872105022868,2006
12.728183728252523,526.0178283827603,564.5560788052175,2007
5.3308071549486415,529.8222963201348,549.3159848498868,2008
12.108429028341035,548.8130676995249,575.7033905371608,2009
7.8140621307394555,551.5563019270174,576.4322328556915,2010
10.422636180427077,548.503288870523,571.4411436144211,2011
16.051763122854513,532.0078952851376,575.8298534436401,2012
16.85310215077199,549.1863389328885,578.4739338254008,2013
15.15303244080351,551.1806720387765,577.6045877830858,2014
14.468749297723834,554.3895400725023,580.3795547821201,2015
22.606619917554074,547.137256694947,580.9981939006074,2016
20.94137687958626,549.7555746752261,580.9792624953144,2017
36.89225752404031,527.952674179543,581.044484076186,2018
22.584131083536725,547.8301229718153,581.4109362929163,2019
27.182384402347456,545.900810208735,585.1834135196156,2020
34.70248116220315,540.9138063094689,589.2210192145683,2021
22.905056513008265,548.2185347004385,2162.4660487923525,2022
24.584141828422876,550.5028889632697,2162.4452668867134,2023
31.525646975385897,543.3960995532785,2161.9029054214416,2024
