intertidal_km2,permanent_km2,valid_km2,year
3.036613697890796,378.963309112358,387.34081137017273,1984
1.539730230858655,370.4131166645537,379.714427131884,1985
5.155130730618351,383.10804508971006,394.9363356541969,1986
8.060282175882255,387.1221485328868,398.9558166164376,1987
5.730733300269017,385.53097031898,396.0152436319647,1988
5.2635668883420506,386.13341018515536,395.4580518529833,1989
5.864979832029791,384.40695430971897,394.57318928292665,1990
0.0,0.0,0.0,1991
0.0,0.0,0.0,1992
0.0,0.0,0.0,1993
0.0,0.0,0.0,1994
0.0,0.0,0.0,1995
0.0,0.0,0.0,1996
1.9843601627345664,362.8039023671909,379.10198153689646,1997
4.300273271554973,375.35268229945916,386.6807445222475,1998
2.7102933191049607,370.9202912080358,378.32431753677434,1999
6.570569820042257,385.4372900769603,397.57888887636136,2000
5.203628994798827,373.37336384389596,394.0860438361661,2001
9.02247657130121,381.1156167389586,399.769784204923,2002
5.929382989734127,385.2048266157064,398.7173874850097,2003
9.294646688646461,385.8442303898503,400.04335801142895,2004
9.89100209382317,378.30005026054994,398.53230687780285,2005
13.500278037359646,374.82292180234685,400.0045057626653,2006
5.044983847729251,364.9729646012415,387.5313650817095,2007
2.2225698186353497,366.7401980258103,377.08825760524854,2008
6.293051862558883,381.7368761441769,398.013432118482,2009
4.121522714534743,383.62090499683836,398.8624072832353,2010
4.7419976064062865,381.3389738289666,393.7240214679248,2011
10.222770076723572,367.0368483619544,398.4684295700108,2012
10.054609863448986,382.5032274096016,400.5003270379846,2013
8.502874229624053,383.83313925425267,399.6501747281191,2014
8.965004446227807,385.8858809801259,401.5629514513885,2015
13.737402125698663,381.22958975351764,402.12874505307934,2016
12.682632095098208,381.9715231904254,402.1034632579134,2017
23.660652330167345,365.9346610181527,402.1574547965487,2018
13.925837375488436,381.0110597355803,402.0970061919551,2019
15.95948892116357,378.554943091843,403.17228231094,2020
20.005684341462622,374.3638177890988,404.1405468103781,2021
14.600579295221035,379.09452479982957,677.9734857963026,2022
16.377215081324735,380.50521340586243,677.9549541304701,2023
17.248393749853484,378.99105863778726,677.7757569214816,2024
